Title,Date,Creator,Identifier,Recipient,Gender of Author,Age of Author,Identified People,Unidentified People,Subject,Geographic Subjects,Place Of Origin,Destination,Notes,Language,Transcript,Reference URL,CONTENTdm number,CONTENTdm file name
1882 July 18COMMA New YorkCOMMA to Dear Mother,1882-07-18,CopeCOMMA Francis HazenCOMMA 1859-1909,hsc2012,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,20-30,CopeCOMMA Francis ReeveCOMMA 1821-1909; EmlenCOMMA George WilliamsCOMMA 1853-1938; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; YarnallCOMMA Agnes; CopeCOMMA AlfredCOMMA 1857-1897; EmlenCOMMA James,,Voyages and travels; Transportation; Travel--planning; Boats; England--Description and travel,Chestnut Hill (PhiladelphiaCOMMA Pa.); Wayne County (Pa.); New York (N.Y.);,Brevoort HouseCOMMA Fifth AvenueCOMMA New York (N.Y.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9541,9541,7672.cpd
1867 September 29COMMA AwburyCOMMA to My dear Frank,1867-09-29,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,hsc1661,CopeCOMMA Francis ReeveCOMMA 1821-1909,F,40-50,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA ClementineCOMMA 1835-1903; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; BrownCOMMA William A.COMMA b. 1824; BrownCOMMA Susanna SansomCOMMA 1826-1909; BrownCOMMA JeremiahCOMMA b. 1792?; YarnallCOMMA Ellis H.COMMA 1817-1905; HartshorneCOMMA Anna C. (Anna Cope)COMMA 1860-1957; HartshorneCOMMA Mary Elizabeth BrownCOMMA b. 1823; CopeCOMMA Thomas PimCOMMA 1823-1900; CopeCOMMA Francis HazenCOMMA 1859-1909; CopeCOMMA E. D. (Edward Drinker)COMMA 1840-1897; LongstrethCOMMA Mary AnnaCOMMA 1811-1884; EvansCOMMA Eleanor Tyson StokesCOMMA 1840-1919; EvansCOMMA John WistarCOMMA 1836-1873; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; BiddleCOMMA Anna S.; WheelerCOMMA CharlesCOMMA 1827-1883,"Jack & Wallace; Nellie; George and Julia; Dr. E Hartshorne; Eugenia; HarrisonCOMMA Agness; Uncle David; JakeCOMMA James H; BrownCOMMA Mary Farnum (""Mame"");  WheelerCOMMA Susan; KimberCOMMA Margaret;  LeedsCOMMA Albert",Gardens; Voyages and travels; Health; Teachers; Spiders; Haverford College,Adirondack Mountains (N.Y.); Elizabethtown (N.Y.); Gloucester (Mass.); Paris (France); Haverford (Pa. : Township); Alps; Brighton (England); London (England); Isle of Wight (England); Newport (R.I.); Switzerland; Philadelphia (Pa.); Mt. Washington (N.H.),Awbury (PhiladelphiaCOMMA Pa.),,Two and a half sheets.,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9558,9558,7689.cpd
1896 September 13COMMA The RuisseaumontCOMMA Lake PlacidCOMMA Essex Co.COMMA N.Y.COMMA to My Dear Wife,1896-09-13,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3172,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,SmileyCOMMA Sarah FrancesCOMMA 1830-1917; CopeCOMMA Amy A.COMMA 1833?-1909; BrownCOMMA JohnCOMMA 1800-1859; CopeCOMMA AlfredCOMMA 1857-1897; EvansCOMMA JonathanCOMMA 1843-1911,Lulie,Weather; Mountains--New York (State); Freedmen--United States; Driving of horse drawn vehicles; Walking; Health,Richmond (Va.),The RuisseaumontCOMMA Lake PlacidCOMMA Essex Co. (N.Y.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9561,9561,7692.cpd
1886 August 29COMMA PhiladelphiaCOMMA to Dear LillieCOMMA Woodbourne,1886-08-29,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3005,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,M,60-70,YarnallCOMMA Ellis H.COMMA 1817-1905; HainesCOMMA Francis CopeCOMMA 1857-1918; HainesCOMMA John SmithCOMMA 1820-1886; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; StorkCOMMA Anna Brown CopeCOMMA b. 1862; EvansCOMMA Betty,,Tea; Weather; Shipment of goods; Fruit; Photographs,Awbury (PhiladelphiaCOMMA Pa.); Newport (R.I.); Woodbourne (Susquehanna CountyCOMMA Pa.),Philadelphia,Woodbourne (Susquehanna CountyCOMMA Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9564,9564,7695.cpd
1893 July 6COMMA AwburyCOMMA to My Dear Wife,1893-07-06,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3090,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; EvansCOMMA Ernest MervynCOMMA 1884-1911; LewisCOMMA William DraperCOMMA 1867-1949; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; CopeCOMMA Thomas PimCOMMA 1823-1900; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902; CopeCOMMA HenryCOMMA 1850-1924; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; DrinkerCOMMA FrancesCOMMA b. 1841,Dr. Hall; Dr. Edgerly; Dr. Kinkade,Telegraph; Health; Meetings; Death; Asylums; Building; Cholera; Hailstorms; Dental care,Tunkhannock (Pa.); Bryn Mawr (Pa.); New York (N.Y.); Maryland,Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9570,9570,7701.cpd
1887 July 12COMMA WoodbourneCOMMA to Dear Wife,1887-07-12,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3012,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA AgnesCOMMA 1876-1899; HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,Dr. Norris; Miles; Nancy; Dr. Domach,Railroad travel; Diseases; Views,,Woodbourne (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9575,9575,7706.cpd
1882 July 18COMMA New York HarborCOMMA to Dear Father,1882-07-18,CopeCOMMA Francis HazenCOMMA 1859-1909,hsc2013,CopeCOMMA Francis ReeveCOMMA 1821-1909,M,20-30,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; CopeCOMMA AlfredCOMMA 1857-1897; EmlenCOMMA George WilliamsCOMMA 1853-1938; YarnallCOMMA Agnes; YarnallCOMMA Ellis H.COMMA 1817-1905; YarnallCOMMA Margaret,,Voyages and travels; England--Description and travel; Boats,West Point (N.Y.); Atlantic Ocean,New York Harbor (N.Y.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9579,9579,7710.cpd
1880 August 2COMMA MontroseCOMMA to My dear wife,1880-08-02,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc1727,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,50-60,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA Alexis T. (Alexis Thomas)COMMA 1850-1883; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; CopeCOMMA AgnesCOMMA 1876-1899; CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962; FooteCOMMA Eleanor Tyson CopeCOMMA 1879-1973; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Francis AlgernonCOMMA 1878-1946; HotchkissCOMMA William O.COMMA b. 1825; EvansCOMMA JonathanCOMMA 1843-1911; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA AlfredCOMMA 1857-1897,Bateman,Letter writing; Nature; Driving of horse drawn vehicles; Hotels; Rooms; Travel--planning,Montrose (Susquehanna CountyCOMMA Pa.); Catskill (N.Y.); Woodbourne (Susquehanna CountyCOMMA Pa.),Montrose (Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9584,9584,7715.cpd
1887 July 31COMMA AwburyCOMMA to My Dear WifeCOMMA Newport,1887-07-31,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3015,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA HenryCOMMA 1850-1924; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA Francis HazenCOMMA 1859-1909; EmlenCOMMA George WilliamsCOMMA 1853-1938; CopeCOMMA MargaretCOMMA 1856-1948; ScattergoodCOMMA Mary Cope EmlenCOMMA 1878-1975; HainesCOMMA Francis CopeCOMMA 1857-1918; CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Margaret Cheston TatnallCOMMA b. 1859; CopeCOMMA Thomas PimCOMMA 1823-1900; EmlenCOMMA Eleanor CopeCOMMA 1854-1920; EmlenCOMMA SamuelCOMMA 1880-1936; EmlenCOMMA Arthur CopeCOMMA 1882-1941; EmlenCOMMA George Williams Jr.COMMA 1887-1976; WistarCOMMA Edward MorrisCOMMA 1852-1941; WistarCOMMA Margaret (Meta) Cooper CollinsCOMMA 1852-1937; WoodCOMMA James; MarnerCOMMA George; BroomCOMMA David; YarnallCOMMA Mary,,July; Weather; Voyages and travels; Health; Telephone; Inventions; Vacations,Westtown (Pa.); Philadelphia (Pa.); Newport (R.I.),Awbury (PhiladelphiaCOMMA Pa.),Newport (R.I.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9589,9589,7720.cpd
1884 August 29COMMA MagnoliaCOMMA to My dear Anna,1884-08-29,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,hsc1699,EvansCOMMA Anna CopeCOMMA 1875-1967,F,50-60,StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA AgnesCOMMA 1876-1899; EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Edward W. (Edward Wyatt)COMMA 1882-1976,Dr. de Costa; CopeCOMMA Elizabeth; Cousin Maggie; WendellCOMMA R,Whales; Seashore,Gloucester (Mass.);  Thatcher's Island (Mass.); Kettle Island (Mass.); Cape Ann Lights (Mass.); Eagle Head Point (Mass.); Singing Beach (Mass.),Magnolia (Mass.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9595,9595,7726.cpd
1895 August 26COMMA AwburyCOMMA to My Dear Wife,1895-08-26,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3147,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,EvansCOMMA Eleanor Tyson StokesCOMMA 1840-1919; CopeCOMMA MargaretCOMMA 1856-1948; HartshorneCOMMA HenryCOMMA 1823-1897; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; BrownCOMMA David SandsCOMMA 1827-1914; ComfortCOMMA EdwardCOMMA b. 1858; HainesCOMMA ReubenCOMMA 1851-1920; HainesCOMMA Francis CopeCOMMA 1857-1918; StorkCOMMA Theophilus Baker; CopeCOMMA Thomas PimCOMMA 1823-1900; EvansCOMMA JonathanCOMMA 1843-1911; CopeCOMMA Francis HazenCOMMA 1859-1909; StewardsonCOMMA John; StorkCOMMA Anna Brown CopeCOMMA b. 1862,Canning; Dr. Sinkler,CrusoeCOMMA Robinson (Fictitious character); Weather; Water; Sailing; Betrothal,Conanicut (Island : R.I.),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9599,9599,7730.cpd
1887 October 19COMMA WoodbourneCOMMA to Dear Wife,1887-10-19,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3025,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA AgnesCOMMA 1876-1899; FooteCOMMA Eleanor Tyson CopeCOMMA 1879-1973; MottCOMMA LucretiaCOMMA 1793-1880; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,Miles; Josh; Mrs. Parke; Mrs. Jessup; Mrs. deLewenity; Mrs. Drinker; Mrs. Coates,Walking; Views; Autumn; Masonry; Manners and customs; Places of worship; Gossip,Woodruff's Hill (Pa.); Dimock (Pa.); Montrose (Susquehanna CountyCOMMA Pa.); Scranton (Pa.),Woodbourne (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9604,9604,7735.cpd
1892 July 17COMMA WoodbourneCOMMA to Dear Anna,1892-07-17,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3082,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,SmithCOMMA WilliamCOMMA 1821?-1892; StewardsonCOMMA EdmundCOMMA d. 1892; CopeCOMMA Francis HazenCOMMA 1859-1909; HainesCOMMA ReubenCOMMA 1851-1920; StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902; CopeCOMMA AgnesCOMMA 1876-1899; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; BrownCOMMA Susanna SansomCOMMA 1826-1909; HartshorneCOMMA Anna C. (Anna Cope)COMMA 1860-1957; HartshorneCOMMA Virginia,Jessup,Death; Telegraph; Travel--Health aspects; Plumbing; Driving of horse drawn vehicles; Carriages and carts; Weakness (Physiology),Montrose (Susquehanna CountyCOMMA Pa.),Woodbourne (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9609,9609,7740.cpd
1888 October 13COMMA WoodbourneCOMMA to My dear WifeCOMMA Newport,1888-10-13,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3039,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; CopeCOMMA AgnesCOMMA 1876-1899; CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962; FooteCOMMA Eleanor Tyson CopeCOMMA 1879-1973; WalkerCOMMA GeorgeCOMMA 1797-1891,Dr. Norris; Andrew,Letter writing; Low temperatures; Health; Cold (Disease); House construction; Architects; House selling; Pumping machinery; Wells; Weakness (Physiology),Tunkhannock (Pa.); Newport (R.I.); Germantown (PhiladelphiaCOMMA Pa.),Woodbourne (Susquehanna CountyCOMMA Pa.),Newport (R.I.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9615,9615,7746.cpd
1893 October 31COMMA WoodbourneCOMMA to My Dear Wife,1893-10-31,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3126,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; HartshorneCOMMA Anna C. (Anna Cope)COMMA 1860-1957; HartshorneCOMMA HenryCOMMA 1823-1897; MorrisCOMMA SamuelCOMMA 1827-1905; CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962; AllinsonCOMMA Gertrude,,Weather; Walking; Driving of horse drawn vehicles; Voyages and travels; Travel--planning,Montrose (Susquehanna CountyCOMMA Pa.); Japan,Woodbourne (Susquehanna CountyCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9619,9619,7750.cpd
1893 September 14COMMA AwburyCOMMA to My Dear Wife,1893-09-14,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3108,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,LewisCOMMA Henry; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; EvansCOMMA Francis AlgernonCOMMA 1878-1946; EvansCOMMA Edward W. (Edward Wyatt)COMMA 1882-1976; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; ArchibaldCOMMA Nancy; LewisCOMMA William DraperCOMMA 1867-1949; CopeCOMMA Margaret Cheston TatnallCOMMA b. 1859; StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA Thomas PimCOMMA 1823-1900; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA AlfredCOMMA 1857-1897; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,Mrs. Beatie,Telegraph; Infants; Health; Eyeglasses,Conanicut (Island : R.I.); Awbury (PhiladelphiaCOMMA Pa.); Woodbourne (Susquehanna CountyCOMMA Pa.),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9623,9623,7754.cpd
1869 September 26COMMA NewportCOMMA to My dear Chellie,1869-09-26,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,hsc1670,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,F,40-50,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; MerrittCOMMA George F.; StorkCOMMA Anna Brown CopeCOMMA b. 1862; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA Sarah; FarnumCOMMA Elizabeth H.COMMA 1814-1898?,"Cousin Marmaduke; Margaret; WistarCOMMA Betsey; OwenCOMMA Oliver; BrownCOMMA Mary Farnum (""Mame"")",FinanceCOMMA Personal; School attendance; Fishing; Haverford College,Catskill Mountains (N.Y.); Haverford (Pa. : Township); Canonicut (Island : R.I.); Rose Island (R.I.);,Newport (R.I.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9629,9629,7760.cpd
1885 July 20COMMA WoodbourneCOMMA to Dear JonathanCOMMA Awbury,1885-07-20,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3000,EvansCOMMA JonathanCOMMA 1843-1911,M,60-70,EvansCOMMA Anna CopeCOMMA 1875-1967; CopeCOMMA AgnesCOMMA 1876-1899; CopeCOMMA Francis R. (Francis Reeve)COMMA 1878-1962; FooteCOMMA Eleanor Tyson CopeCOMMA 1879-1973; MasonCOMMA Katharine Evans StokesCOMMA 1866-1947; YarnallCOMMA Ellis H.COMMA 1817-1905,,Loans; Health,,Woodbourne (Susquehanna CountyCOMMA Pa.),Awbury (PhiladelphiaCOMMA Pa.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9632,9632,7763.cpd
1888 August 6COMMA AwburyCOMMA to Dear Wife,1888-08-06,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3028,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA MargaretCOMMA 1856-1948; EmlenCOMMA George WilliamsCOMMA 1853-1938; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; CopeCOMMA AlfredCOMMA 1857-1897; EvansCOMMA Ernest MervynCOMMA 1884-1911,Mrs. Topham,Letters; Diseases; Nursing; Hospitals; Travel--planning; Weather; Sleep,Germantown (PhiladelphiaCOMMA Pa.); Woodbourne (Susquehanna CountyCOMMA Pa.); Newport (R.I.); Delaware River (N.Y.-Del. and N.J),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9636,9636,7767.cpd
1896 August 27COMMA PhiladelphiaCOMMA to My Dear Wife,1896-08-27,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3167,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,CopeCOMMA Francis HazenCOMMA 1859-1909; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,,,Newport (R.I.); Willow Grove (Pa.),Philadelphia,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9639,9639,7770.cpd
1895 July 11COMMA AwburyCOMMA to My Dear Wife,1895-07-11,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3141,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA Francis HazenCOMMA 1859-1909; StorkCOMMA Anna Brown CopeCOMMA b. 1862; HartshorneCOMMA HenryCOMMA 1823-1897; CopeCOMMA ClementineCOMMA 1835-1903; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; PanceatCOMMA Henry; KaneCOMMA Francis; EvansCOMMA Ernest MervynCOMMA 1884-1911; EvansCOMMA HaroldCOMMA 1886-1977; CopeCOMMA Thomas PimCOMMA 1823-1900; EmlenCOMMA Eleanor CopeCOMMA 1854-1920; EmlenCOMMA George WilliamsCOMMA 1853-1938,David; Canning,Letters; Travel--planning; Older people--Diseases; Gout; Horses; Weather,Conanicut (Island : R.I.); New York (N.Y.); Longport (N.J.),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9643,9643,7774.cpd
1888 September 22COMMA PhiladelphiaCOMMA to My Dear Wife,1888-09-22,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3036,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,60-70,HainesCOMMA Mary D. (Mary Drinker Cope)COMMA 1819-1890; HainesCOMMA Francis CopeCOMMA 1857-1918; HainesCOMMA Henry CopeCOMMA 1853-1900; HainesCOMMA ReubenCOMMA 1851-1920; HartshorneCOMMA Bessie; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA MargaretCOMMA 1856-1948; CopeCOMMA HenryCOMMA 1850-1924; CopeCOMMA Francis HazenCOMMA 1859-1909; ArchibaldCOMMA Nancy,,,,Philadelphia,,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9648,9648,7779.cpd
1887 July 7COMMA NewportCOMMA to My dear Lillie,1887-07-07,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,hsc4008,CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937,F,50-60,LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939; EvansCOMMA Anna CopeCOMMA 1875-1967; EvansCOMMA Francis AlgernonCOMMA 1878-1946; CopeCOMMA Francis ReeveCOMMA 1821-1909; StorkCOMMA Anna Brown CopeCOMMA b. 1862,Edward; Mrs. Russell; Prof. Agassy?,Seashore; Storms; Sailing,Point Judith Harbor of Refuge (R.I.); Swallow's Cove (R.I.); Newport (R.I.),Newport (R.I.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9657,9657,7788.cpd
1896 September 6COMMA Lake PlacidCOMMA to My Dear Wife,1896-09-06,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3169,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,CopeCOMMA AlfredCOMMA 1857-1897; CopeCOMMA Margaret Cheston TatnallCOMMA b. 1859; CopeCOMMA AnnetteCOMMA 1843-1916; EvansCOMMA JonathanCOMMA 1843-1911; EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,Dr. Kemp; Bishop Patter,Health; Throat--Diseases; Fever; Cold (Disease); Weather; Voice; Walking; Echo,Echo Lake (N.Y.); Mirror Lake (N.Y.); Wilmington Pass (N.Y.); London (England),Lake Placid (N.Y.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9661,9661,7792.cpd
1873 July 29COMMA NewportCOMMA to My dear Chellie,1873-07-29,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,hsc1677,EvansCOMMA Rachel Reeve CopeCOMMA 1850-1939,F,40-50,HartshorneCOMMA Mary Elizabeth BrownCOMMA b. 1823; HartshorneCOMMA Anna C. (Anna Cope)COMMA 1860-1957; StorkCOMMA Anna Brown CopeCOMMA b. 1862; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; HartshorneCOMMA HenryCOMMA 1823-1897; CopeCOMMA Elizabeth Waln StokesCOMMA 1823-1902; CopeCOMMA Elizabeth S. (Elizabeth Stewardson)COMMA 1848-1937; HainesCOMMA John SmithCOMMA 1820-1886; HainesCOMMA Francis CopeCOMMA 1857-1918; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; YarnallCOMMA Margaret; SmithCOMMA Ben,Sister Elizabeth; Nancy;  Dr. Tollicoffer?; Mrs. O'Donnell; Mrs. McMaster; PineCOMMA Emma; PineCOMMA Sarah; CopeCOMMA John,Carriages and carts,Castle Hill (R.I.); Baltimore (Md.),Newport (R.I.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9666,9666,7797.cpd
1895 August 19COMMA AwburyCOMMA to My Dear Wife,1895-08-19,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3145,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,ThurstonCOMMA Wharton; MellorCOMMA Anna; CopeCOMMA Francis HazenCOMMA 1859-1909; CopeCOMMA HenryCOMMA 1850-1924; HartshorneCOMMA HenryCOMMA 1823-1897; CopeCOMMA MargaretCOMMA 1856-1948; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; HainesCOMMA Francis CopeCOMMA 1857-1918; CopeCOMMA AlfredCOMMA 1857-1897,Elsie,Ocean travel; Pickpockets,New York (N.Y.); Longport (N.J.); Ocean City (N.J.); Atlantic City (N.J.),Awbury (PhiladelphiaCOMMA Pa.),,,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9669,9669,7800.cpd
1893 September 8COMMA AwburyCOMMA to My Dear WifeCOMMA Conanicut,1893-09-08,CopeCOMMA Francis ReeveCOMMA 1821-1909,hsc3102,CopeCOMMA Anna Stewardson BrownCOMMA 1822-1916,M,70-80,LewisCOMMA William DraperCOMMA 1867-1949; LewisCOMMA Caroline Mary CopeCOMMA 1865-1953; CopeCOMMA Thomas P. (Thomas Pim)COMMA 1852-1944; CopeCOMMA Margaret Cheston TatnallCOMMA b. 1859; YarnallCOMMA Caroline C.COMMA b. 1859; MasonCOMMA Katharine Evans StokesCOMMA 1866-1947; MasonCOMMA SamuelCOMMA 1859-1947; HartshorneCOMMA HenryCOMMA 1823-1897; HartshorneCOMMA Anna C. (Anna Cope)COMMA 1860-1957; HartshorneCOMMA Virginia,,Voyages and travels; Homecoming; Health; Weather,Wayne Junction Station (PhiladelphiaCOMMA Pa.); New York (N.Y.); Conanicut (Island : R.I.); Niagara (N.Y.),Awbury (PhiladelphiaCOMMA Pa.),Conanicut (R.I.),,English,,http://165.106.6.73:80/cdm/ref/collection/cope/id/9673,9673,7804.cpd
